poi_lat,poi_lon,category
6.1382945,80.1047149,worship
6.0789572,80.5662179,worship
6.1386905,80.1153882,worship
6.157294,80.1846656,worship
6.1711573,80.1734711,worship
5.9500967,80.4966152,worship
5.9490504,80.5408474,worship
6.0351111,80.3766581,worship
6.0231001,80.4085627,worship
6.0324547,80.4002242,worship
6.0156077,80.3928995,worship
6.1050546,80.7123211,worship
6.1298248,80.6881312,worship
6.0273509,80.7089721,worship
5.9997015,80.5830999,worship
6.1586822,80.6274385,worship
6.2808041,80.426869,worship
6.181266,80.1958807,worship
6.2784326,80.9900632,worship
6.1499419,81.0113613,worship
6.1644433,81.0074076,worship
5.9836401,80.4907008,worship
5.9806507,80.4785202,worship
6.0000242,80.5138924,worship
6.0082911,80.5160838,worship
6.0132557,80.5090146,worship
5.9391388,80.5043162,worship
5.9703568,80.4758256,worship
5.93946,80.4694552,worship
5.989194,80.4580953,worship
5.9757548,80.4398539,worship
5.9733917,80.4863597,worship
6.3037856,80.6336326,worship
6.291007,80.6365769,worship
6.2662609,80.6881618,worship
6.2515579,80.7663489,worship
6.2197409,80.6350034,worship
6.2500281,80.6167192,worship
5.9443714,80.5290906,worship
6.1449844,80.7102612,worship
6.1728634,80.7263381,worship
6.1751222,80.7091854,worship
6.1663556,80.709006,worship
6.1486345,80.7845431,worship
6.1541688,80.7703164,worship
6.1451258,80.6085055,worship
6.0625017,80.8390207,worship
6.1247376,80.3710437,worship
5.9636141,80.565799,worship
6.2466142,80.813279,worship
6.2741536,80.6949638,worship
6.2995136,80.589,worship
6.2819438,80.191489,worship
6.2744759,80.233884,worship
6.2781578,80.245857,worship
5.9678345,80.420167,worship
6.2388902,80.1654042,worship
6.2061733,80.1880983,worship
6.262729,80.1251071,worship
5.931104,80.5839717,worship
5.9647505,80.6384278,worship
6.4649815,80.5070288,worship
6.0730816,80.9130951,worship
6.0378864,80.7991637,worship
6.1605012,81.0427996,worship
6.2832818,81.0419476,worship
6.1571085,81.0352326,worship
6.2908433,81.000969,worship
6.4806159,80.7074115,worship
6.1094299,80.975845,worship
6.2016376,80.3450827,worship
6.0930928,80.8721243,worship
6.2938496,80.9494319,worship
6.0569769,80.7830908,worship
6.0204715,80.4321902,worship
6.0910439,80.7800458,worship
6.1050065,80.8027673,worship
6.1546993,80.9030854,worship
6.1594711,80.9139353,worship
6.134611,80.8747231,worship
6.1701545,80.8907657,worship
6.1946592,80.9496697,worship
6.1688089,80.9163186,worship
6.1150888,80.9433022,worship
6.1285274,81.0460546,worship
6.3122871,81.1977519,worship
5.9451996,80.4620606,worship
6.081822,80.2125052,worship
6.1658936,80.1048506,worship
6.1559794,80.1046644,worship
6.1516861,80.1004011,worship
6.0736334,80.1965052,worship
6.0590937,80.2035941,worship
6.2269586,80.9360022,worship
6.2122229,80.9277936,worship
6.1554702,80.9400718,worship
6.1576148,80.9756316,worship
6.2055703,80.8647659,worship
6.2183508,80.8778492,worship
6.2333612,80.8839109,worship
6.229873,80.8245629,worship
6.1633087,80.7764662,worship
6.121909,80.328811,worship
6.1648872,80.7887588,worship
6.1565963,80.5443029,worship
6.1401458,80.760245,worship
6.1300309,80.7736258,worship
6.1159607,80.7742927,worship
6.0939034,80.7446969,worship
6.039474,80.7665188,worship
6.0474167,80.7366109,worship
6.0706005,80.7353659,worship
6.0525101,80.7282546,worship
6.0293602,80.7934039,worship
6.0911274,80.731707,worship
6.1532689,80.7388943,worship
6.1202171,80.7039567,worship
6.2436806,80.7664935,worship
6.1293479,80.6655126,worship
6.1624033,80.6934794,worship
5.9589253,80.5069697,worship
6.2385021,80.6573947,worship
6.2568123,80.6652669,worship
6.2134455,80.7330764,worship
6.2445206,80.7152963,worship
